"year"	"exp"	"block"	"fence"	"plot"	"treatment"	"subsidence"	"ALT"	"ALT.corrected"	"geometry"
2009	"CiPEHR"	"a"	1	"1"	"Air Warming"	0	-52.5	-52.5	c(537945.061181286, 1100974.61034372)
2009	"CiPEHR"	"a"	1	"2"	"Control"	0	-52.5	-52.5	c(537941.929348974, 1100973.86823061)
2009	"CiPEHR"	"a"	1	"3"	"Air Warming"	0	-52.7	-52.7	c(537943.972994247, 1100971.12857398)
2009	"CiPEHR"	"a"	1	"4"	"Control"	0	-50.8	-50.8	c(537946.01920041, 1100973.05621906)
2009	"CiPEHR"	"a"	1	"5"	"Air + Soil Warming"	0	-51.3	-51.3	c(537937.519279393, 1100984.41905301)
2009	"CiPEHR"	"a"	1	"6"	"Soil Warming"	0	-53.5	-53.5	c(537940.038294997, 1100986.68937608)
2009	"CiPEHR"	"a"	1	"7"	"Air + Soil Warming"	0	-61.2	-61.2	c(537939.777848489, 1100988.59489566)
2009	"CiPEHR"	"a"	1	"8"	"Soil Warming"	0	-58.8	-58.8	c(537934.397313723, 1100985.82019829)
2009	"CiPEHR"	"a"	2	"1"	"Air Warming"	0	-47.2	-47.2	c(537955.754577999, 1100981.00632174)
2009	"CiPEHR"	"a"	2	"2"	"Control"	0	-55	-55	c(537950.650111753, 1100980.40484843)
2009	"CiPEHR"	"a"	2	"3"	"Air Warming"	0	-54	-54	c(537952.547265501, 1100977.13753647)
2009	"CiPEHR"	"a"	2	"4"	"Control"	0	-54.2	-54.2	c(537954.089235183, 1100978.60908617)
2009	"CiPEHR"	"a"	2	"5"	"Air + Soil Warming"	0	-52.8	-52.8	c(537948.749497949, 1100991.02155357)
2009	"CiPEHR"	"a"	2	"6"	"Soil Warming"	0	-62	-62	c(537951.036506826, 1100992.99910862)
2009	"CiPEHR"	"a"	2	"7"	"Air + Soil Warming"	0	-56.8	-56.8	c(537950.525723053, 1100994.79675347)
2009	"CiPEHR"	"a"	2	"8"	"Soil Warming"	0	-57.8	-57.8	c(537946.957231526, 1100993.20512038)
2009	"CiPEHR"	"b"	3	"1"	"Air Warming"	0	-58	-58	c(538005.299268935, 1101105.21851765)
2009	"CiPEHR"	"b"	3	"2"	"Control"	0	-51.3	-51.3	c(538003.050355101, 1101103.56471526)
2009	"CiPEHR"	"b"	3	"3"	"Air Warming"	0	-59	-59	c(538004.461150603, 1101101.89084927)
2009	"CiPEHR"	"b"	3	"4"	"Control"	0	-57.7	-57.7	c(538006.442928634, 1101103.70735623)
2009	"CiPEHR"	"b"	3	"5"	"Air + Soil Warming"	0	-51.7	-51.7	c(537998.353493803, 1101115.58373368)
2009	"CiPEHR"	"b"	3	"6"	"Soil Warming"	0	-57	-57	c(538000.689857765, 1101117.20427668)
2009	"CiPEHR"	"b"	3	"7"	"Air + Soil Warming"	0	-52	-52	c(537999.18546028, 1101118.87000626)
2009	"CiPEHR"	"b"	3	"8"	"Soil Warming"	0	-61	-61	c(537996.682438232, 1101118.08261855)
2009	"CiPEHR"	"b"	4	"1"	"Air Warming"	0	-55.8	-55.8	c(538013.765519635, 1101118.29601026)
2009	"CiPEHR"	"b"	4	"2"	"Control"	0	-60.8	-60.8	c(538010.139106492, 1101115.89741201)
2009	"CiPEHR"	"b"	4	"3"	"Air Warming"	0	-57.2	-57.2	c(538011.381537863, 1101114.14523723)
2009	"CiPEHR"	"b"	4	"4"	"Control"	0	-55	-55	c(538014.718015708, 1101116.26857993)
2009	"CiPEHR"	"b"	4	"5"	"Air + Soil Warming"	0	-50.5	-50.5	c(538007.465860463, 1101125.65395105)
2009	"CiPEHR"	"b"	4	"6"	"Soil Warming"	0	-55	-55	c(538009.587437515, 1101127.56577935)
2009	"CiPEHR"	"b"	4	"7"	"Air + Soil Warming"	0	-58.2	-58.2	c(538007.857585791, 1101129.37453058)
2009	"CiPEHR"	"b"	4	"8"	"Soil Warming"	0	-55.8	-55.8	c(538006.242787725, 1101128.22987825)
2009	"CiPEHR"	"c"	5	"1"	"Air Warming"	0	-55.3	-55.3	c(538123.833788578, 1101029.12017965)
2009	"CiPEHR"	"c"	5	"2"	"Control"	0	-47.5	-47.5	c(538121.243627226, 1101027.11613051)
2009	"CiPEHR"	"c"	5	"3"	"Air Warming"	0	-48.2	-48.2	c(538123.12392811, 1101025.50355211)
2009	"CiPEHR"	"c"	5	"4"	"Control"	0	-54.2	-54.2	c(538125.030967066, 1101027.84379265)
2009	"CiPEHR"	"c"	5	"5"	"Air + Soil Warming"	0	-51.2	-51.2	c(538117.307977279, 1101039.86426493)
2009	"CiPEHR"	"c"	5	"6"	"Soil Warming"	0	-54.2	-54.2	c(538119.083499313, 1101041.25538645)
2009	"CiPEHR"	"c"	5	"7"	"Air + Soil Warming"	0	-50.5	-50.5	c(538117.914903209, 1101043.33206615)
2009	"CiPEHR"	"c"	5	"8"	"Soil Warming"	0	-57.7	-57.7	c(538116.050667494, 1101042.33191631)
2009	"CiPEHR"	"c"	6	"1"	"Air Warming"	0	-43.2	-43.2	c(538135.096724586, 1101036.74136463)
2009	"CiPEHR"	"c"	6	"2"	"Control"	0	-55.8	-55.8	c(538131.96726414, 1101034.64109664)
2009	"CiPEHR"	"c"	6	"3"	"Air Warming"	0	-57.5	-57.5	c(538133.53420904, 1101033.12225322)
2009	"CiPEHR"	"c"	6	"4"	"Control"	0	-48.3	-48.3	c(538136.223924323, 1101035.13959845)
2009	"CiPEHR"	"c"	6	"5"	"Air + Soil Warming"	0	-57.2	-57.2	c(538127.657255438, 1101046.69304944)
2009	"CiPEHR"	"c"	6	"6"	"Soil Warming"	0	-54.3	-54.3	c(538130.022999495, 1101048.47681978)
2009	"CiPEHR"	"c"	6	"7"	"Air + Soil Warming"	0	-55	-55	c(538128.884934097, 1101050.26204674)
